ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Stance on Sara
25-1,15/03/23 10:03:46,https://twitter.com/kyeiaaaa/status/1539408632827109376?s=20,25,"Cunanan, Ridge",GOVT,Sara Duterte K12,abolish k-12,@kyeiaaaa,keii || coding ??,i kin kim dokja | tweets in eng/fil/bicol | beware of untagged /slight/ nsfw and kms jokes t.t,Anonymous,02/22,169,152,she/her,"don't tell me she wants to remove k-12 para ipalit ang 2 year mandatory military service / rotc ?? there's no need to abolish k-12 god, improvement and free education ang kailangan ng youth ??

https://twitter.com/gmanews/status/1538532051648802816

{Alt-test video: GMA news coverage on K-12}",N/A,"Text, Video, URL",22/06/22 08:43,https://drive.google.com/file/d/1ouwRhu3lvIFonkfrvotF_VyHQEkf22Y-/view?usp=share_link,Emotional,1649,15,316,57,1,N/A,"Sara never made any mention of removing K-12. She only said that DepEd aims to revise the program

https://verafiles.org/articles/vera-files-fact-check-deped-to-revise-not-abolish-k-to-12",N/A,Ambiguous
25-2,15/03/23 10:58:26,https://twitter.com/itsTimheD_/status/1542470078708363264?s=20,25,"Cunanan, Ridge",GOVT,Sara Duterte K12,abolish k-12,@itsTimheD_,Tayym D,Resident Weirdo || Marist x PUP || Ex-Streamer (for now) || Isaiah 41:10 ||,Identified,06/13,660,482,N/A,"The new admin wants to abolish the K-12 system. Imagine tayong mga estudyante na naghirap for additional 2 years tas may balak iabolish.

That doesn't seem fair",N/A,Text,30/06/22 19:28,N/A,Emotional,9,2,2,0,1,N/A,"Sara never made any mention of removing K-12. She only said that DepEd aims to revise the program

https://verafiles.org/articles/vera-files-fact-check-deped-to-revise-not-abolish-k-to-12",No location,Ambiguous
25-3,15/03/23 12:52:09,https://twitter.com/DIFFANG1/status/1607271052299894784?s=20,25,"Cunanan, Ridge",GOVT,Sara Duterte K12,abolish k-12,@DIFFANG1,DIFFANG,Aspiration towards an inclusive society,Anonymous,04/21,843,630,N/A,"K - 12 EDUC PROGRAM 
was meant to enhance, prepare and update our young generations' mastery of concepts at par with World standards.

The last Admin didn't support this & worst placed education far behind.

Today, the new Admin is moving to abolish it.

PABALIK NA PO TAYO.",N/A,Text,26/12/22 15:04,N/A,Emotional,32,4,5,0,1269,N/A,"Sara never made any mention of removing K-12. She only said that DepEd aims to revise the program

https://verafiles.org/articles/vera-files-fact-check-deped-to-revise-not-abolish-k-to-12",No location,Anti-Sara
25-4,15/03/23 12:52:12,https://twitter.com/Mike62091243/status/1524701856164810752?s=20,25,"Cunanan, Ridge",GOVT,Sara Duterte K12,abolish k-12,@Mike62091243,Mike Hanipol,N/A,Identified,04/22,19,4,Republic of the Philippines,Sara will abolish K-12 system and bring back old system,N/A,"Text, Reply",12/05/22 18:43,N/A,Rational,3,0,1,0,1,N/A,"Sara never made any mention of removing K-12. She only said that DepEd aims to revise the program

https://verafiles.org/articles/vera-files-fact-check-deped-to-revise-not-abolish-k-to-12",No bio,Pro-Sara
25-5,15/03/23 12:52:15,https://twitter.com/Jeongyawnie/status/1524668333655990272?s=20,25,"Cunanan, Ridge",GOVT,Sara Duterte K12,sara k-14,@Jeongyawnie,Alex,kpop girl group na twice mag dedebut sa japan bilang sooboonit,Anonymous,11/21,369,332,N/A,This was from the Vice Presidential Forum about a month ago. Walden Bello says K-12 is not much of a success and claims we should focus on quality instead. He then criticizes Sara Duterte's plan to add TWO more years to K-12 making it K-14 for mandatory military service. https://twitter.com/seungyounica/status/1524649922821120001,N/A,"Text, URL",12/05/22 16:30,N/A,Rational,527,7,95,22,1,N/A,"Sara never mentioned adding two more years to K-12 to form the so called ""K-14"". The mandatory military service is also not the ""additional two years"" as she never mentioned this as well. Sara only mentioned making military service mandatory for people of at least 18, but never made any mention regarding its inclusion to the school curriculum.

https://verafiles.org/articles/vera-files-fact-check-sara-duterte-quote-on-k-14-and-rotc-fake",No location,Ambiguous
25-6,15/03/23 12:52:19,https://twitter.com/chillz_c02/status/1524667451115327488?s=20,25,"Cunanan, Ridge",GOVT,Sara Duterte K12,sara k-14,@chillz_c02,Achilla,I don't like people but I like you.,Anonymous,08/21,613,773,N/A,"May plano si Sara na gawing k-14 ang k-12 hahaha. I have a better plan, I'll marry a wealthy man.",N/A,Text,12/05/22 16:27,N/A,Emotional,1,0,0,0,1,N/A,"Sara never mentioned adding two more years to K-12 to form the so called ""K-14"". The mandatory military service is also not the ""additional two years"" as she never mentioned this as well. Sara only mentioned making military service mandatory for people of at least 18, but never made any mention regarding its inclusion to the school curriculum.

https://verafiles.org/articles/vera-files-fact-check-sara-duterte-quote-on-k-14-and-rotc-fake",No location,Ambiguous
25-7,15/03/23 13:10:38,https://twitter.com/itswhalienn/status/1524771135656579075?s=20,25,"Cunanan, Ridge",GOVT,Sara Duterte K12,sara k-14,@itswhalienn,Lonely lonely whale,"18

#BTS: deserves it all.

I'm in this Bangtan shit for life ?",Anonymous,10/17,365,310,N/A,"""k-12 -> k-14""

in sara, we trust.",N/A,Text,12/05/22 23:19,N/A,Emotional,0,1,0,0,1,N/A,"Sara never mentioned adding two more years to K-12 to form the so called ""K-14"". The mandatory military service is also not the ""additional two years"" as she never mentioned this as well. Sara only mentioned making military service mandatory for people of at least 18, but never made any mention regarding its inclusion to the school curriculum.

https://verafiles.org/articles/vera-files-fact-check-sara-duterte-quote-on-k-14-and-rotc-fake",No location,Ambiguous
25-8,15/03/23 13:10:41,https://twitter.com/ellineer23/status/1524690510577020928?s=20,25,"Cunanan, Ridge",GOVT,Sara Duterte K12,sara k-14,@ellineer23,Elli Ave.,cut me open take my heart | Nanotechnology,Anonymous,12/21,172,7,N/A,"I can already see the rants ng ibang magulang na bumoto kina BBM and Sara regarding the plans of turning k-12 into k-14.??

I mean, you voted them why not support?????",N/A,Text,12/05/22 17:58,N/A,Emotional,5,0,0,0,1,N/A,"Sara never mentioned adding two more years to K-12 to form the so called ""K-14"". The mandatory military service is also not the ""additional two years"" as she never mentioned this as well. Sara only mentioned making military service mandatory for people of at least 18, but never made any mention regarding its inclusion to the school curriculum.

https://verafiles.org/articles/vera-files-fact-check-sara-duterte-quote-on-k-14-and-rotc-fake",No location,Anti-Sara
25-9,15/03/23 13:10:43,https://twitter.com/vettejulips/status/1524713895562465280?s=20,25,"Cunanan, Ridge",GOVT,Sara Duterte K12,sara k-14,@vettejulips,naoki.,"la réponse, c'est l'amour
— 
@julips2lips",Anonymous,08/21,297,1267,busy bc of ??,ha? Did sara already announce that she will increase the k-12 into k-14? Why are u all being so scared just because u will be teaching discipline?,N/A,Text,12/05/22 19:31,N/A,Emotional,0,0,0,0,1,N/A,"Sara never mentioned adding two more years to K-12 to form the so called ""K-14"". The mandatory military service is also not the ""additional two years"" as she never mentioned this as well. Sara only mentioned making military service mandatory for people of at least 18, but never made any mention regarding its inclusion to the school curriculum.

https://verafiles.org/articles/vera-files-fact-check-sara-duterte-quote-on-k-14-and-rotc-fake",N/A,Ambiguous
25-10,3/15/2023 13:18:29,https://twitter.com/emkaydeehey/status/1524719733580640256?s=20,25,"Cunanan, Ridge",GOVT,Sara Duterte K12,sara k-14,@emkaydeehey,??????,Be fearless in the pursuit of what sets your soul on fire ???????????????????FANACCOUNT? ?exo?superjunior?nct_dream?aldenrichards?gulfkanawut,Anonymous,10/17,273,70,wonderland | exoplanet,"K-14, tax increase and 2 years mandatory military service. Oh loko, para kayong kumuha ng batong ipupukpok sa ulo nyo. Damay damay tayo pero at least ako di nag sisi sa choices ko sa buhay ??",N/A,Text,12/05/22 19:54,N/A,Emotional,1,0,0,0,1,N/A,"Sara never mentioned adding two more years to K-12 to form the so called ""K-14"". The mandatory military service is also not the ""additional two years"" as she never mentioned this as well. Sara only mentioned making military service mandatory for people of at least 18, but never made any mention regarding its inclusion to the school curriculum.

https://verafiles.org/articles/vera-files-fact-check-sara-duterte-quote-on-k-14-and-rotc-fake",N/A,Ambiguous
